frequency,raw
21.46,6.12
22.57,6.12
23.74,6.12
24.97,6.12
26.26,6.17
27.62,6.21
29.06,6.21
30.56,6.21
32.15,6.21
33.81,6.21
35.57,6.21
37.41,6.21
39.35,6.21
41.39,6.13
43.53,6.11
45.79,6.12
48.16,6.12
50.66,6.00
53.28,5.93
56.05,5.88
58.95,5.84
62.01,5.68
65.22,5.57
68.60,5.35
72.15,5.17
75.89,4.94
79.82,4.66
83.96,4.38
88.31,4.08
92.89,3.69
97.70,3.37
102.76,2.98
108.08,2.55
113.68,2.22
119.57,1.82
125.77,1.47
132.28,1.18
139.14,0.85
146.35,0.64
153.93,0.36
161.91,0.25
170.30,0.03
178.37,-0.04
188.41,-0.20
198.17,-0.30
208.44,-0.32
219.25,-0.41
230.61,-0.50
242.56,-0.50
255.13,-0.52
268.36,-0.60
282.27,-0.60
296.90,-0.60
312.29,-0.60
328.48,-0.60
345.50,-0.60
363.41,-0.60
382.25,-0.60
402.06,-0.60
422.90,-0.60
444.82,-0.66
467.87,-0.73
492.12,-0.73
517.63,-0.73
544.46,-0.73
572.69,-0.73
602.37,-0.73
633.59,-0.75
666.43,-0.79
700.97,-0.87
737.31,-0.87
775.52,-0.87
815.72,-0.87
858.00,-0.89
902.46,-1.06
949.24,-1.06
998.44,-1.06
1050.20,-1.06
1104.63,-1.14
1161.88,-1.15
1222.11,-1.15
1285.45,-1.15
1352.07,-1.32
1422.15,-1.33
1495.86,-1.33
1573.40,-1.35
1654.95,-1.42
1740.73,-1.42
1830.96,-1.42
1925.85,-1.49
2025.66,-1.58
2130.66,-1.58
2241.10,-1.57
2357.25,-1.68
2479.43,-1.70
2607.95,-1.70
2743.12,-1.71
2885.29,-1.80
3034.85,-1.79
3192.16,-1.79
3357.59,-1.93
3531.61,-1.98
3714.67,-1.98
3907.21,-2.00
4109.71,-2.07
4322.73,-2.07
4546.80,-2.07
4782.44,-2.17
5030.30,-2.25
5291.04,-2.25
5565.29,-2.26
5853.73,-2.35
6157.15,-2.34
6476.29,-2.35
6811.95,-2.42
7164.99,-2.53
7536.38,-2.53
7927.01,-2.53
8337.86,-2.60
8770.03,-2.62
9224.61,-2.62
9702.75,-2.62
10205.68,-2.62
10734.56,-2.79
11290.96,-2.80
11876.21,-2.80
12491.79,-2.80
13139.29,-2.80
13820.34,-2.80
14536.61,-2.89
15290.10,-2.89
16082.64,-2.89
16916.26,-2.89
17793.08,-2.90
18715.14,-3.08
19438.02,-3.12
